Transcript	Tax_Annotation	Max_Annotation	Description	PFAM	KO_All	KO_sig	Pathway_all	Pathway_sig	GO_BP	GO_sig	Figure_term	
hpl7_b_DN4673_c0_g1_i1	COG1012@1|root,KOG2450@2759|Eukaryota	2759|Eukaryota	aldehyde dehydrogenase (NAD) activity	Aldedh	ko:K00128,ko:K00129,ko:K07249,ko:K12355		ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00350,ko00360,ko00380,ko00410,ko00561,ko00620,ko00625,ko00830,ko00903,ko00940,ko00980,ko00981,ko00982,ko01100,ko01110,ko01120,ko01130,ko05204,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00350,map00360,map00380,map00410,map00561,map00620,map00625,map00830,map00903,map00940,map00980,map00981,map00982,map01100,map01110,map01120,map01130,map05204		GO:0000003,GO:0000166,GO:0001101,GO:0001523,GO:0001568,GO:0001654,GO:0001655,GO:0001756,GO:0001758,GO:0001822,GO:0001889,GO:0001936,GO:0001944,GO:0001947,GO:0002009,GO:0002072,GO:0002138,GO:0002237,GO:0003002,GO:0003007,GO:0003008,GO:0003143,GO:0003674,GO:0003824,GO:0004028,GO:0004029,GO:0004030,GO:0004745,GO:0005096,GO:0005488,GO:0005497,GO:0005501,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005829,GO:0005886,GO:0005975,GO:0005996,GO:0006000,GO:0006001,GO:0006066,GO:0006067,GO:0006069,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006117,GO:0006629,GO:0006720,GO:0006721,GO:0006725,GO:0006766,GO:0006775,GO:0006776,GO:0006793,GO:0006796,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0007275,GO:0007368,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0007494,GO:0007507,GO:0007584,GO:0007610,GO:0007626,GO:0008047,GO:0008150,GO:0008152,GO:0008284,GO:0008285,GO:0008289,GO:0008299,GO:0008610,GO:0008774,GO:0009055,GO:0009056,GO:0009058,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009636,GO:0009653,GO:0009698,GO:0009699,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009799,GO:0009855,GO:0009887,GO:0009888,GO:0009893,GO:0009952,GO:0009954,GO:0009966,GO:0009967,GO:0009987,GO:0009991,GO:0010033,GO:0010468,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010817,GO:0010941,GO:0010942,GO:0014031,GO:0014032,GO:0014033,GO:0014070,GO:0014706,GO:0016020,GO:0016043,GO:0016052,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016331,GO:0016491,GO:0016614,GO:0016616,GO:0016620,GO:0016903,GO:0016918,GO:0016999,GO:0017144,GO:0018479,GO:0019222,GO:0019318,GO:0019320,GO:0019438,GO:0019637,GO:0019682,GO:0019748,GO:0019752,GO:0019840,GO:0019842,GO:0021510,GO:0021515,GO:0021517,GO:0021522,GO:0021536,GO:0021537,GO:0021544,GO:0021700,GO:0021756,GO:0021761,GO:0021768,GO:0021915,GO:0021953,GO:0021983,GO:0022008,GO:0022414,GO:0022607,GO:0022900,GO:0023051,GO:0023052,GO:0023056,GO:0030154,GO:0030182,GO:0030234,GO:0030323,GO:0030324,GO:0030326,GO:0030522,GO:0030695,GO:0030900,GO:0030902,GO:0031016,GO:0031076,GO:0031667,GO:0031974,GO:0031981,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032504,GO:0032526,GO:0032570,GO:0032787,GO:0032870,GO:0033189,GO:0033273,GO:0033574,GO:0033993,GO:0034097,GO:0034308,GO:0034754,GO:0035050,GO:0035094,GO:0035107,GO:0035108,GO:0035113,GO:0035115,GO:0035136,GO:0035239,GO:0035270,GO:0035282,GO:0035295,GO:0035799,GO:0036094,GO:0036296,GO:0042127,GO:0042221,GO:0042445,GO:0042471,GO:0042472,GO:0042493,GO:0042562,GO:0042572,GO:0042573,GO:0042574,GO:0042698,GO:0042802,GO:0042803,GO:0042904,GO:0042905,GO:0042981,GO:0043009,GO:0043010,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043087,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043547,GO:0043583,GO:0043584,GO:0043933,GO:0044085,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0044849,GO:0045471,GO:0046365,GO:0046394,GO:0046677,GO:0046983,GO:0048037,GO:0048048,GO:0048384,GO:0048385,GO:0048386,GO:0048468,GO:0048471,GO:0048511,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048562,GO:0048565,GO:0048566,GO:0048568,GO:0048583,GO:0048584,GO:0048592,GO:0048593,GO:0048596,GO:0048598,GO:0048609,GO:0048646,GO:0048699,GO:0048729,GO:0048731,GO:0048732,GO:0048736,GO:0048738,GO:0048762,GO:0048799,GO:0048839,GO:0048856,GO:0048857,GO:0048863,GO:0048864,GO:0048869,GO:0050269,GO:0050662,GO:0050678,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050885,GO:0050896,GO:0050905,GO:0051259,GO:0051260,GO:0051262,GO:0051287,GO:0051289,GO:0051336,GO:0051345,GO:0051704,GO:0051707,GO:0051716,GO:0055093,GO:0055114,GO:0055123,GO:0060004,GO:0060013,GO:0060166,GO:0060173,GO:0060255,GO:0060322,GO:0060324,GO:0060429,GO:0060485,GO:0060537,GO:0060541,GO:0060548,GO:0060562,GO:0060589,GO:0060900,GO:0061008,GO:0061053,GO:0061371,GO:0061624,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070324,GO:0070384,GO:0070403,GO:0070404,GO:0070482,GO:0070542,GO:0070887,GO:0071229,GO:0071300,GO:0071310,GO:0071396,GO:0071398,GO:0071495,GO:0071695,GO:0071704,GO:0071840,GO:0071944,GO:0072001,GO:0072189,GO:0072330,GO:0072358,GO:0072359,GO:0090242,GO:0090596,GO:0097159,GO:0097305,GO:0098772,GO:1901135,GO:1901214,GO:1901215,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901575,GO:1901576,GO:1901615,GO:1901654,GO:1901700,GO:1901701	generation of precursor metabolites and ...,organophosphate metabolic process,cellular process,fructose metabolic process,carbohydrate derivative metabolic proces...,	Carbohydrate Metabolism	
hpl7_b_DN756_c0_g1_i2	2DPM9@1|root,332MQ@2|Bacteria,1VGFB@1239|Firmicutes,251YU@186801|Clostridia	186801|Clostridia	-	-	-		-		-			
hpl7_c_DN14_c0_g1_i15	2AU0F@1|root,31JKB@2|Bacteria,1V6XX@1239|Firmicutes,4HWBB@91061|Bacilli	91061|Bacilli	COG NOG14600 non supervised orthologous group	-	-		-		-			
hpl7_c_DN2_c3_g1_i2	2DZCK@1|root,2S6X3@2759|Eukaryota,3A5SR@33154|Opisthokonta,3P5B4@4751|Fungi,3V2GU@5204|Basidiomycota	4751|Fungi	-	-	-		-		-			
hpl7_c_DN4_c0_g1_i4	2CZCW@1|root,2S9RN@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl7_c_DN52_c0_g2_i2	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl7_c_DN8_c0_g1_i67	2CZQV@1|root,2SBAE@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl8_a_DN13554_c0_g1_i1	KOG4853@1|root,KOG4853@2759|Eukaryota,3AB25@33154|Opisthokonta	33154|Opisthokonta	encoded within the 25S rRNA gene on the opposite strand	-	-		-		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0019222,GO:0031323,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043457,GO:0043467,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0065007	regulation of cellular respiration,regulation of generation of precursor me...,	Cellular Respiration	
hpl8_a_DN13_c0_g1_i3	2E7QX@1|root,2SE9X@2759|Eukaryota,3ADIG@33154|Opisthokonta,3P9MB@4751|Fungi,3V5YY@5204|Basidiomycota,2YFXT@29000|Pucciniomycotina	4751|Fungi	-	-	-		-		-			
hpl8_a_DN151_c0_g1_i18	COG0048@1|root,KOG1750@2759|Eukaryota	2759|Eukaryota	structural constituent of ribosome	Ribosom_S12_S23	ko:K02950	small subunit ribosomal protein S12,	ko03010,map03010		GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cellular process,translation,peptide biosynthetic process,protein metabolic process,	Translation	
hpl8_a_DN1_c1_g1_i8	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl8_a_DN213_c0_g1_i1	2CZQV@1|root,2SBAE@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl8_a_DN21_c0_g1_i5	2BG5J@1|root,2S18N@2759|Eukaryota,3A27A@33154|Opisthokonta,3Q325@4751|Fungi,3VC3B@5204|Basidiomycota	4751|Fungi	-	-	-		-		-			
hpl8_a_DN346_c0_g1_i1	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl8_b_DN137_c1_g1_i4	2DMNG@1|root,32SP1@2|Bacteria,1VAXC@1239|Firmicutes,24P9Q@186801|Clostridia	186801|Clostridia	COG NOG14552 non supervised orthologous group	-	-		-		-			
hpl8_b_DN1_c0_g1_i5	29XIP@1|root,30J9M@2|Bacteria,1QGXJ@1224|Proteobacteria,1TEDR@1236|Gammaproteobacteria,3ZADK@586|Providencia	1236|Gammaproteobacteria	-	-	-		-		-			
hpl8_b_DN20_c0_g1_i1	2CZQV@1|root,2SBAE@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl8_b_DN27_c0_g1_i6	2E7QX@1|root,2SE9X@2759|Eukaryota,3ADIG@33154|Opisthokonta,3P9MB@4751|Fungi,3V5YY@5204|Basidiomycota,2YFXT@29000|Pucciniomycotina	4751|Fungi	-	-	-		-		-			
hpl8_b_DN2_c0_g1_i23	2DMNG@1|root,32SP1@2|Bacteria,1VAXC@1239|Firmicutes,24P9Q@186801|Clostridia	186801|Clostridia	COG NOG14552 non supervised orthologous group	-	-		-		-			
hpl8_b_DN62_c0_g1_i1	2DSV3@1|root,33HII@2|Bacteria,1VQ64@1239|Firmicutes,4IGTW@91061|Bacilli,3F8RY@33958|Lactobacillaceae	91061|Bacilli	ORF located using Blastx	-	-		-		-			
hpl8_b_DN8_c2_g1_i11	2BXDR@1|root,2T08F@2759|Eukaryota,3AUR5@33154|Opisthokonta,3PIK1@4751|Fungi,3R5CQ@4890|Ascomycota,3RWGQ@4891|Saccharomycetes	4751|Fungi	-	-	-		-		-			
hpl8_b_DN8_c2_g1_i6	2BG5J@1|root,2S18N@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl8_c_DN1559_c0_g2_i5	2DTV2@1|root,33MS7@2|Bacteria,1NKAB@1224|Proteobacteria	2|Bacteria	-	-	-		-		-			
hpl8_c_DN4_c47_g1_i1	KOG1721@1|root,KOG1721@2759|Eukaryota,39PP8@33154|Opisthokonta	33154|Opisthokonta	DNA binding	-	-		-		-			
hpl8_c_DN718_c1_g1_i2	2B9ZZ@1|root,323DM@2|Bacteria,1V6N4@1239|Firmicutes,24K1H@186801|Clostridia,36VZZ@31979|Clostridiaceae	186801|Clostridia	COG NOG15344 non supervised orthologous group	-	-		-		-			
hpl8_c_DN85_c0_g1_i2	2B9ZZ@1|root,323DM@2|Bacteria,4NTEB@976|Bacteroidetes,2FU8G@200643|Bacteroidia,230KB@171551|Porphyromonadaceae	976|Bacteroidetes	COG NOG15344 non supervised orthologous group	-	-		-		-			
lpl2_a_DN0_c0_g1_i1	COG2885@1|root,COG3637@1|root,COG2885@2|Bacteria,COG3637@2|Bacteria,1N6EM@1224|Proteobacteria,1RMJ7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Belongs to the ompA family	OMP_b-brl,OmpA,OmpA_membrane	ko:K03286		-		GO:0000746,GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006950,GO:0006974,GO:0008150,GO:0009279,GO:0009597,GO:0009605,GO:0009607,GO:0009615,GO:0009987,GO:0015267,GO:0015288,GO:0016020,GO:0016021,GO:0016032,GO:0019058,GO:0019867,GO:0022803,GO:0022829,GO:0022857,GO:0030260,GO:0030312,GO:0030313,GO:0031224,GO:0031975,GO:0032991,GO:0033554,GO:0034220,GO:0042802,GO:0043207,GO:0044403,GO:0044409,GO:0044419,GO:0044425,GO:0044462,GO:0044464,GO:0044764,GO:0046718,GO:0046930,GO:0050896,GO:0051179,GO:0051234,GO:0051701,GO:0051704,GO:0051707,GO:0051716,GO:0051806,GO:0051828,GO:0055085,GO:0071944,GO:0098796	cellular process,	Bacterial Outer Membrane Protein	
lpl2_a_DN100_c0_g2_i1	COG3133@1|root,COG3133@2|Bacteria,1RA1D@1224|Proteobacteria,1S202@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Outer Membrane Lipoprotein	Rick_17kDa_Anti	ko:K06077		-		GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944		Bacterial Outer Membrane Protein	
lpl2_a_DN1012_c0_g1_i1	COG2317@1|root,COG2317@2|Bacteria,1MW7T@1224|Proteobacteria,1RQM5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Broad specificity carboxypetidase that releases amino acids sequentially from the C-terminus, including neutral, aromatic, polar and basic residues	Peptidase_M32	ko:K01299		-		-			
lpl2_a_DN1029_c0_g1_i1	COG0791@1|root,COG0791@2|Bacteria,1N0EE@1224|Proteobacteria,1RR2X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	COG0791 Cell wall-associated hydrolases (invasion-associated proteins)	NLPC_P60	ko:K13694		-		GO:0000270,GO:0003674,GO:0003824,GO:0004175,GO:0006022,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009254,GO:0016787,GO:0019538,GO:0030203,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901135,GO:1901564	protein metabolic process,carbohydrate derivative metabolic proces...,	Carbohydrate Metabolism	
lpl2_a_DN1037_c1_g1_i7	COG0834@1|root,COG0834@2|Bacteria,1MXIA@1224|Proteobacteria,1RPXK@1236|Gammaproteobacteria,3X1MD@547|Enterobacter	1236|Gammaproteobacteria	belongs to the bacterial solute-binding protein 3 family	SBP_bac_3	ko:K09996,ko:K09997,ko:K10014		ko02010,map02010		GO:0003333,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0008150,GO:0015711,GO:0015802,GO:0015807,GO:0015809,GO:0015849,GO:0015893,GO:0016597,GO:0030288,GO:0030313,GO:0031406,GO:0031975,GO:0034220,GO:0034618,GO:0036094,GO:0042221,GO:0042493,GO:0042597,GO:0043090,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0044464,GO:0046942,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0089718,GO:0097638,GO:0098655,GO:0098656,GO:0098657,GO:0098739,GO:1902023,GO:1902475,GO:1903400,GO:1903825,GO:1903826,GO:1905039,GO:1990822			
lpl2_a_DN105_c0_g1_i2	COG0264@1|root,COG0264@2|Bacteria,1MUS2@1224|Proteobacteria,1RPBJ@1236|Gammaproteobacteria,3X0X9@547|Enterobacter	1236|Gammaproteobacteria	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome	EF_TS	ko:K02357		-		GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005085,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0019899,GO:0034641,GO:0034645,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0051020,GO:0065007,GO:0065009,GO:0071704,GO:0097159,GO:0098772,GO:1901363,GO:1901564,GO:1901566,GO:1901576	cellular process,translation,peptide biosynthetic process,protein metabolic process,	Translation	
lpl2_a_DN1085_c0_g1_i3	COG4126@1|root,COG4126@2|Bacteria,1R3SB@1224|Proteobacteria,1RQJ0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	AroM protein	AroM	ko:K14591		-		-			
lpl2_a_DN108_c0_g3_i1	2DB79@1|root,2Z7K9@2|Bacteria,1NR0Z@1224|Proteobacteria,1RQ9G@1236|Gammaproteobacteria,3X0I4@547|Enterobacter	1236|Gammaproteobacteria	Histidine phosphatase superfamily (branch 2)	His_Phos_2	ko:K01085		ko00010,ko01120,map00010,map01120		GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008877,GO:0009056,GO:0009987,GO:0016052,GO:0016158,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0019318,GO:0019320,GO:0030288,GO:0030313,GO:0031975,GO:0042578,GO:0042597,GO:0044237,GO:0044238,GO:0044281,GO:0044282,GO:0044464,GO:0046365,GO:0050308,GO:0071704,GO:1901575	cellular process,		
lpl2_a_DN10_c0_g1_i6	COG0780@1|root,COG2904@1|root,COG0780@2|Bacteria,COG2904@2|Bacteria,1MW0M@1224|Proteobacteria,1RNXM@1236|Gammaproteobacteria,3X0EP@547|Enterobacter	1236|Gammaproteobacteria	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)	QueF,QueF_N	ko:K06879,ko:K09457		ko00790,ko01100,map00790,map01100		GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016491,GO:0016645,GO:0016646,GO:0016651,GO:0016657,GO:0018130,GO:0019438,GO:0033739,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046116,GO:0046483,GO:0055086,GO:0055114,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	cellular process,nucleobase-containing small molecule met...,carbohydrate derivative metabolic proces...,nucleobase-containing small molecule bio...,	Nucleotide Metabolism	
lpl2_a_DN112_c0_g1_i6	COG1154@1|root,COG1154@2|Bacteria,1MUSJ@1224|Proteobacteria,1RNQD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	DXP_synthase_N,Transket_pyr,Transketolase_C	ko:K01662		ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130		GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006725,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008614,GO:0008615,GO:0008654,GO:0008661,GO:0009058,GO:0009108,GO:0009110,GO:0009228,GO:0009240,GO:0009987,GO:0016740,GO:0016744,GO:0017144,GO:0018130,GO:0019288,GO:0019438,GO:0019637,GO:0019682,GO:0019752,GO:0019842,GO:0030976,GO:0032787,GO:0034641,GO:0036094,GO:0042180,GO:0042181,GO:0042364,GO:0042723,GO:0042724,GO:0042816,GO:0042819,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046490,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0071704,GO:0072524,GO:0072525,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:1901135,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663,GO:1901681	organophosphate metabolic process,cellular process,carbohydrate derivative metabolic proces...,	Carbohydrate Metabolism	
lpl2_a_DN11472_c0_g1_i1	2EM1Z@1|root,33GV6@2|Bacteria,1NK5H@1224|Proteobacteria,1SHYC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-		-		-			
lpl2_a_DN119_c0_g1_i2	COG0460@1|root,COG0527@1|root,COG0460@2|Bacteria,COG0527@2|Bacteria,1MW3H@1224|Proteobacteria,1RN1G@1236|Gammaproteobacteria,3X01G@547|Enterobacter	1236|Gammaproteobacteria	Aspartate kinase	AA_kinase,ACT_7,Homoserine_dh,NAD_binding_3	ko:K12524,ko:K12525		ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230		GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0019202,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	cellular process,		
