Transcript	Tax_Annotation	Max_Annotation	Description	PFAM	KO_All	KO_sig	Pathway_all	Pathway_sig	GO_BP	GO_sig	Figure_term	
hpl8_a_DN56_c0_g1_i3	COG2058@1|root,COG5273@1|root,KOG1311@2759|Eukaryota,KOG3449@2759|Eukaryota	2759|Eukaryota	translational elongation	Ribosomal_60s	ko:K02943,ko:K20027		ko03010,map03010	Ribosome,	GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009409,GO:0009507,GO:0009536,GO:0009628,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0034645,GO:0042788,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0050896,GO:0070013,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,protein metabolic process,cellular macromolecule biosynthetic proc...,macromolecule biosynthetic process,gene expression,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,cellular macromolecule metabolic process,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,macromolecule metabolic process,cellular metabolic process,nitrogen compound metabolic process,response to abiotic stimulus,	Translation	
hpl8_a_DN639_c0_g1_i3	COG2801@1|root,KOG0017@2759|Eukaryota,3QII3@4776|Peronosporales	67593.Physo131902|-	gag-polypeptide of LTR copia-type	-	-		-		-			
hpl8_b_DN114_c0_g1_i5	KOG1075@1|root,KOG1075@2759|Eukaryota	2759|Eukaryota	Ribonuclease H protein	-	-		-		-		Nucleotide Metabolism	
hpl8_b_DN172_c0_g1_i1	COG2163@1|root,KOG3418@2759|Eukaryota,3A1HM@33154|Opisthokonta,3P2YN@4751|Fungi,3QU79@4890|Ascomycota,20GXZ@147545|Eurotiomycetes	4751|Fungi	Belongs to the eukaryotic ribosomal protein eL27 family	Ribosomal_L27e	ko:K02901		ko03010,map03010	Ribosome,	GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0030684,GO:0030687,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,protein metabolic process,cellular macromolecule biosynthetic proc...,macromolecule biosynthetic process,gene expression,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,cellular macromolecule metabolic process,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,macromolecule metabolic process,cellular metabolic process,nitrogen compound metabolic process,	Translation	
hpl8_b_DN31683_c0_g1_i1	COG4830@1|root,KOG1768@2759|Eukaryota	2759|Eukaryota	structural constituent of ribosome	Ribosomal_S26e	ko:K02976,ko:K13379,ko:K18739		ko00520,ko03010,map00520,map03010	Ribosome,	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005791,GO:0005829,GO:0005840,GO:0005844,GO:0005911,GO:0006403,GO:0006405,GO:0006407,GO:0006412,GO:0006518,GO:0006611,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0007275,GO:0007568,GO:0008104,GO:0008150,GO:0008152,GO:0008340,GO:0009058,GO:0009059,GO:0009506,GO:0009507,GO:0009536,GO:0009987,GO:0010259,GO:0010467,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0015935,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030054,GO:0030867,GO:0031090,GO:0031503,GO:0031984,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0042175,GO:0042254,GO:0042255,GO:0042788,GO:0042886,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048856,GO:0050657,GO:0050658,GO:0051029,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0055044,GO:0065003,GO:0070727,GO:0070925,GO:0071166,GO:0071426,GO:0071428,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0097064,GO:0097159,GO:0098552,GO:0098554,GO:0098556,GO:0098562,GO:0098588,GO:0098827,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,intracellular protein transport,protein metabolic process,intracellular transport,protein transport,establishment of localization in cell,establishment of protein localization,ribosome biogenesis,ribonucleoprotein complex biogenesis,cellular macromolecule biosynthetic proc...,macromolecule biosynthetic process,protein localization,gene expression,cellular macromolecule localization,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,developmental process,peptide transport,cellular macromolecule metabolic process,amide transport,cellular localization,cellular component biogenesis,macromolecule localization,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,multicellular organism development,macromolecule metabolic process,multicellular organismal process,cellular metabolic process,nitrogen compound metabolic process,anatomical structure development,cellular component organization or bioge...,aging,nitrogen compound transport,RNA export from nucleus,protein-containing complex localization,ribonucleoprotein complex localization,	Translation	
hpl8_b_DN590_c0_g1_i5	COG2125@1|root,KOG1646@2759|Eukaryota,38HEM@33154|Opisthokonta,3NUD1@4751|Fungi,3QMKB@4890|Ascomycota,2147U@147550|Sordariomycetes,3UR8I@5151|Ophiostomatales	4751|Fungi	Ribosomal protein S6e	Ribosomal_S6e	ko:K02991		ko01521,ko03010,ko04066,ko04150,ko04151,ko04371,ko04714,ko04910,ko05205,map01521,map03010,map04066,map04150,map04151,map04371,map04714,map04910,map05205	Ribosome,Thermogenesis,	GO:0000462,GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022626,GO:0022627,GO:0030490,GO:0030684,GO:0030686,GO:0032040,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,protein metabolic process,ribosome biogenesis,ribonucleoprotein complex biogenesis,cellular macromolecule biosynthetic proc...,macromolecule biosynthetic process,gene expression,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,cellular macromolecule metabolic process,cellular component biogenesis,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,rRNA processing,rRNA metabolic process,macromolecule metabolic process,maturation of SSU-rRNA from tricistronic...,maturation of SSU-rRNA,cellular metabolic process,nitrogen compound metabolic process,cellular component organization or bioge...,ncRNA processing,	Translation	
hpl8_c_DN38_c0_g1_i7	KOG0032@1|root,KOG0032@2759|Eukaryota	2759|Eukaryota	protein serine/threonine kinase activity	Pkinase	-		-		-			
hpl8_c_DN61_c0_g1_i7	COG5640@1|root,KOG3627@2759|Eukaryota	2759|Eukaryota	serine-type endopeptidase activity	Trypsin	-		-		-		Protein Metabolism	Trypsin
lpl6_a_DN722_c0_g2_i1	COG0443@1|root,KOG0102@2759|Eukaryota,38EJA@33154|Opisthokonta,3NVS1@4751|Fungi,3UZDM@5204|Basidiomycota,3VED9@5234|Tremellales	4751|Fungi	Belongs to the heat shock protein 70 family	HSP70	ko:K04043	molecular chaperone DnaK,	ko03018,ko04212,ko05152,map03018,map04212,map05152		GO:0001405,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005744,GO:0005759,GO:0005886,GO:0006457,GO:0006605,GO:0006626,GO:0006790,GO:0006810,GO:0006839,GO:0006886,GO:0006950,GO:0006970,GO:0006996,GO:0007005,GO:0008104,GO:0008150,GO:0008152,GO:0009277,GO:0009295,GO:0009628,GO:0009847,GO:0009893,GO:0009986,GO:0009987,GO:0010604,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017038,GO:0017111,GO:0019219,GO:0019222,GO:0019866,GO:0022607,GO:0030150,GO:0030234,GO:0030312,GO:0030445,GO:0031012,GO:0031090,GO:0031163,GO:0031323,GO:0031325,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032069,GO:0032070,GO:0032071,GO:0032075,GO:0032077,GO:0032079,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034613,GO:0042026,GO:0042645,GO:0042886,GO:0043085,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043335,GO:0044085,GO:0044093,GO:0044237,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044571,GO:0044743,GO:0045184,GO:0045935,GO:0046907,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051082,GO:0051171,GO:0051173,GO:0051179,GO:0051186,GO:0051234,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0051716,GO:0055085,GO:0060255,GO:0062039,GO:0062040,GO:0065002,GO:0065007,GO:0065009,GO:0070013,GO:0070585,GO:0070727,GO:0071214,GO:0071470,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0072594,GO:0072655,GO:0080090,GO:0098772,GO:0098796,GO:0098798,GO:0098800,GO:0104004,GO:1990542	intracellular protein transport,intracellular transport,protein transport,establishment of localization in cell,establishment of protein localization,establishment of protein localization to...,protein localization,cellular macromolecule localization,protein localization to organelle,developmental process,protein targeting,peptide transport,amide transport,cellular localization,cellular response to abiotic stimulus,cellular response to environmental stimu...,cellular component biogenesis,macromolecule localization,regulation of nuclease activity,protein targeting to mitochondrion,protein localization to mitochondrion,establishment of protein localization to...,mitochondrial transmembrane transport,protein import,protein unfolding,positive regulation of hydrolase activit...,intracellular protein transmembrane tran...,protein refolding,cellular metabolic process,cellular component organization or bioge...,mitochondrial transport,iron-sulfur cluster assembly,metallo-sulfur cluster assembly,nitrogen compound transport,mitochondrion organization,response to abiotic stimulus,	Cellular Stress	HSP
lpl6_b_DN317_c0_g1_i2	2DS6B@1|root,33ERK@2|Bacteria,1R3PB@1224|Proteobacteria,1STQX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-		-		-			
lpl7_a_DN93_c0_g1_i1	KOG4738@1|root,KOG4738@2759|Eukaryota	2759|Eukaryota	cellular response to zinc ion	Metallothio_5,Yeast_MT	-		-		GO:0000302,GO:0000303,GO:0000305,GO:0003674,GO:0003824,GO:0004784,GO:0005488,GO:0005507,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006801,GO:0006873,GO:0006875,GO:0006882,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008270,GO:0009636,GO:0009987,GO:0010035,GO:0010038,GO:0010273,GO:0016209,GO:0016491,GO:0016721,GO:0019430,GO:0019725,GO:0030003,GO:0033554,GO:0034599,GO:0034614,GO:0042221,GO:0042592,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0046688,GO:0046870,GO:0046872,GO:0046914,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051716,GO:0055065,GO:0055069,GO:0055076,GO:0055080,GO:0055082,GO:0055114,GO:0061687,GO:0065007,GO:0065008,GO:0070887,GO:0071450,GO:0071451,GO:0071585,GO:0072503,GO:0072507,GO:0072593,GO:0097237,GO:0097501,GO:0098754,GO:0098771,GO:0098869,GO:1901700,GO:1901701,GO:1990169,GO:1990170,GO:1990748	stress response to cadmium ion,superoxide metabolic process,removal of superoxide radicals,cellular response to oxygen radical,cellular response to superoxide,response to superoxide,response to oxygen radical,homeostatic process,cellular divalent inorganic cation homeo...,divalent inorganic cation homeostasis,cellular metabolic process,detoxification of copper ion,detoxification of inorganic compound,stress response to copper ion,	Cellular Stress	
mpl4_a_DN1943_c4_g1_i1	2ESPR@1|root,2SV7A@2759|Eukaryota	7425.NV24302-PA|-	-	-	-		-		-			
mpl4_a_DN2264_c0_g1_i1	2CTUA@1|root,2S4CJ@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
mpl4_a_DN8501_c0_g7_i1	KOG1075@1|root,KOG1075@2759|Eukaryota,39XVS@33154|Opisthokonta	33154|Opisthokonta	MAP kinase activity	Exo_endo_phos_2,RVT_1	-		-		-			
mpl5_a_DN1544_c2_g1_i1	KOG1075@1|root,KOG1075@2759|Eukaryota,39SG3@33154|Opisthokonta,3P4RB@4751|Fungi	4751|Fungi	Reverse transcriptase (RNA-dependent DNA polymerase)	RVT_1	-		-		-			
mpl5_a_DN2306_c0_g1_i12	28N8N@1|root,2QUTZ@2759|Eukaryota	2759|Eukaryota	-	DDE_3,HTH_Tnp_Tc3_2	-		-		-			
mpl5_a_DN2778_c0_g2_i2	KOG1075@1|root,KOG1075@2759|Eukaryota	2759|Eukaryota	Ribonuclease H protein	Exo_endo_phos_2,RVT_1	-		-		-		Nucleotide Metabolism	
mpl5_a_DN720_c0_g2_i1	KOG1075@1|root,KOG1075@2759|Eukaryota	2759|Eukaryota	Ribonuclease H protein	Exo_endo_phos_2,RVT_1,RVT_3	ko:K08081,ko:K21596		ko00960,ko01100,ko01110,map00960,map01100,map01110		-		Nucleotide Metabolism	
mpl5_b_DN326_c5_g1_i1	2D403@1|root,2STE1@2759|Eukaryota	7425.NV24583-PA|-	-	-	-		-		-			
mpl5_b_DN402_c0_g1_i25	COG0443@1|root,KOG0101@2759|Eukaryota,3XSSA@5653|Kinetoplastida	5653|Kinetoplastida	Heat-shock protein hsp70	HSP70	ko:K03283	heat shock 70kDa protein 1/6/8,	ko03040,ko04010,ko04141,ko04144,ko04213,ko04612,ko04915,ko05134,ko05145,ko05162,ko05164,ko05169,map03040,map04010,map04141,map04144,map04213,map04612,map04915,map05134,map05145,map05162,map05164,map05169	Protein processing in endoplasmic reticulum,Influenza A,	-		Cellular Stress	HSP
mpl5_c_DN1376_c2_g1_i1	KOG1075@1|root,KOG1075@2759|Eukaryota,39SG3@33154|Opisthokonta,3P4RB@4751|Fungi	4751|Fungi	Reverse transcriptase (RNA-dependent DNA polymerase)	RVT_1	-		-		-			
mpl5_c_DN297_c0_g1_i1	2DS6B@1|root,33ERK@2|Bacteria,1R3PB@1224|Proteobacteria,1STQX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-		-		-			
mpl5_c_DN3837_c0_g1_i3	2ETZK@1|root,2SW7Y@2759|Eukaryota,3ATHK@33154|Opisthokonta	33154|Opisthokonta	Transposase	HTH_Tnp_Tc3_2	-		-		-			
mpl5_c_DN605_c0_g1_i1	2BDN0@1|root,2S130@2759|Eukaryota,3AN0N@33154|Opisthokonta	33154|Opisthokonta	Endonuclease-reverse transcriptase	Exo_endo_phos_2	-		-		-		Nucleotide Metabolism	
